AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
5.0,6.198242078897549,-10.0,10,-10,19.989121746226097,5.0,-10.0,20.0,0.7069890135822018,0.686054561625841,0.1012752635892863,0.0783844231563292,-0.08118048994197995,0.023844868826052,0.017638295143784153,-0.0163552355412834,0.020192789137469126,0.016555220429645,0.008998810836111761
7.0,8.484171063564736,-10.0,10,-10,19.98371536955056,7.0,-10.0,20.0,0.8900664233755493,0.8654462273427169,0.1104564943856728,0.09252352127531845,-0.07414689874098981,0.0226814344605361,0.01531523815763269,-0.0709936025163904,-0.036408034390938836,0.0147721516316989,0.006951329596815099
8.0,9.627135555898327,-10.0,10,-10,19.995177862451246,8.0,-10.0,20.0,0.977713241377946,0.9507760593796376,0.1173905681079064,0.10285198896327923,-0.07333084052941742,0.0230796051949356,0.015411731723821738,-0.1134655259833551,-0.08029035479459659,0.0152204472636465,0.007195383297160129
10.0,11.913064540565514,-10.0,10,-10,19.98762377335046,10.0,-10.0,20.0,1.0863691170535417,1.0734323170648403,0.1455104802106579,0.13009050173012593,-0.0636177281133539,0.0188647031650929,0.010679088430967121,-0.2409595426591434,-0.20260465290344257,0.0144773693334318,0.00695645815830135
12.0,14.1989935252327,-10.0,10,-10,19.990730037829064,12.0,-10.0,20.0,1.1426533149484153,1.0936009451415136,0.1848414215847965,0.1731138898555583,-0.052746066816376815,0.0119984120136105,0.003315116000455908,-0.3626359484022128,-0.3219789895926005,0.0125311509240053,0.00539558089356732
0.003,0.4864196172295847,-9.995,20,-10,19.99007371363948,0.0,-10.0,20.0,0.1646584079452283,0.14378636472806378,0.0943628608244917,0.06619956062873497,-0.05523435318676871,0.0183771683418179,0.012138304946573425,0.194866111016792,0.22980714074206182,0.0038103157561556,-0.0037165482227133977
0.005,0.48841961722958466,-9.995,20,-10,20.01314588475723,0.0,-10.0,20.0,0.1620700094820188,0.14123824458711937,0.09458258723025,0.06641059199171137,-0.0550778843599525,0.018135572660229,0.011900561055841915,0.1964912131621725,0.23138507881439083,0.0036795215145537,-0.003844556403759189
2.492,3.3328308480635673,-9.995,20,-10,19.99468474633856,2.5,-10.0,20.0,0.436338226454032,0.4146715533522812,0.0959647412091271,0.06972756087796608,-0.05563718852183862,0.0181711593799441,0.01189547430659565,0.101406559754735,0.1385413272046111,0.0045997943339286,-0.0028009887793212142
5.0,6.198242078897549,-9.995,20,-10,19.98524331108007,5.0,-10.0,20.0,0.7000403778703227,0.6791497543070883,0.1034603629801652,0.08052402694148024,-0.05525173088111794,0.0183290252319908,0.012215342249499614,0.0143486158063909,0.050366395295050305,0.0053065290688464,-0.002057479443166585
7.0,8.484171063564736,-9.995,20,-10,19.98618147363375,7.0,-10.0,20.0,0.8844214311108249,0.8598028786426752,0.1123859148023258,0.09441065516973624,-0.05056701774752674,0.017656568314756,0.010375077090765,-0.0433330132318036,-0.009219184666604189,0.0042955781666506,-0.0033458921419673437
