AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw
0.005,0.0,40.008145459240104,-10,0,0.1362634791890566,0.057731009591995314,0.010046484289485909,-0.005054452924621836,0.28798362208559053,-0.003053693412123248
0.002,0.0,29.995134913550697,-10,0,0.13242157743603541,0.05965081028048302,0.010289916953893734,-0.005513063276122192,0.28877772692605663,-0.0030499297965268413
-2.5,0.0,29.995717587256824,-10,0,-0.15647152780573192,0.06366175421768448,0.01042274325306595,-0.00606679507882851,0.3833935061734631,-0.0026540309902502884
-5.002,0.0,29.982294492464185,-10,0,-0.44374359783279343,0.07450160721023408,0.01053762187500294,-0.006781550060093696,0.47938950733990837,-0.001996207125590574
-0.005,0.0,30.00512310005046,-10,0,0.13044107236600072,0.059406780865772384,0.009742083835997797,-0.004951713636974062,0.2883528150341704,-0.0029270868521471113
2.5,0.0,29.982498368718428,-10,0,0.40964042749039575,0.061561838736990955,0.009671758145472126,-0.004780734695230723,0.2008030006700377,-0.003063987114936514
5.0,0.0,29.976839568040784,-10,0,0.6713342113050843,0.06935125347411132,0.008402300477065498,-0.0038503304554839573,0.11341359665474599,-0.003021891284895352
6.0,0.0,29.988987915849084,-10,0,0.7680270676798511,0.07440024890535818,0.00953822362206309,-0.003928059166223164,0.07342450195060114,-0.0030576940651738673
7.0,0.0,29.99180610291654,-10,0,0.8584538375113463,0.08091018758379571,0.009251489670877962,-0.0036764859749836686,0.023469766073094284,-0.003142348942538097
8.0,0.0,29.993366537891852,-10,0,0.9364187820421154,0.08949116388316178,0.009510913950218781,-0.0038665468275625513,-0.03349887138495809,-0.0032570468537062016
9.0,0.0,30.00361912496707,-10,0,0.981950456003028,0.10274288965684032,0.007003545096317261,-0.0035659392849865957,-0.08485233810146006,-0.0040174749211779204
10.0,0.0,30.002363010203265,-10,0,1.0226154891626686,0.11573311853530939,0.006368076785159327,-0.0032894005609210414,-0.12984192272325792,-0.00391618310320626
11.0,0.0,29.99125789288518,-10,0,1.0683410113798797,0.130609664600001,0.005986383626925944,-0.003120100314956575,-0.17865079639463546,-0.0034670070816961215
12.0,0.0,29.985308040893948,-10,0,1.1210292970336353,0.1466357690332045,0.004941704674785967,-0.0023913316057310656,-0.22623356652824197,-0.003120468294305658
13.0,0.0,29.98769048101647,-10,0,1.184978042899778,0.16510424746025204,0.0012656524310992788,-0.000282785616173475,-0.264444545132585,-0.0023973519431300105
14.0,0.0,29.978117280213947,-10,0,1.240529917905314,0.18579777475831674,0.005782067359394812,-0.0018778162964307294,-0.3015423241642607,-0.0032201097078636593
0.005,0.0,30.02757880626333,-10,0,0.13086251918093095,0.06041022865782945,0.0043839805832639155,-0.003019879726863549,0.29007095666923927,-0.002880203390414498
0.002,0.0,20.001409722732863,-10,0,0.12510488530311364,0.06405420397081124,0.011199286303187376,-0.00608152010834565,0.2892938417409285,-0.002791789030288966
-2.5,0.0,20.004100815784838,-10,0,-0.16003679533404008,0.06733760996914977,0.011192379398931454,-0.006977446740533861,0.3789573165671305,-0.002347794022417095
-5.002,0.0,19.99473383544164,-10,0,-0.4367889158541972,0.07715990872663388,0.010685532688729776,-0.007853457938606605,0.46798390909720783,-0.0015870817124570239
-0.005,0.0,19.99590422901598,-10,0,0.12328283842116676,0.06348276304025732,0.010583164604536588,-0.005868624053222343,0.2859620628947049,-0.0027136429137409497
2.5,0.0,19.995200853732896,-10,0,0.40023346271539817,0.06619688693155798,0.010907338498629869,-0.0058461950072506725,0.2025362033198217,-0.0029148017935821478
5.0,0.0,19.992623907315103,-10,0,0.6656269809813117,0.07435317654566279,0.010039087516850268,-0.004895557827002825,0.11673787336825485,-0.0028983172580361025
6.0,0.0,19.99533579448169,-10,0,0.7646278760837965,0.07929083067814682,0.009743838636182028,-0.0044984877728625906,0.08037416509551283,-0.002936961801178284
