V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
20.0,8.0,-10,0,0.06360962555193288,0.060744343277387584,0.7952517948598855,
20.0,8.0,-10,10,0.06990575092751689,0.06044959823619198,0.7872180711518018,
20.0,8.0,-10,20,0.08078229545789353,0.05846796794997238,0.7808619049903314,
20.0,8.0,0,-20,0.05930301193723401,0.06298942697873729,0.8059487694576009,
20.0,8.0,0,0,0.058139029057104906,0.06289730886406235,0.8181435468930762,
20.0,8.0,0,10,0.06348747771500741,0.06198014617688955,0.8026369701896098,
20.0,8.0,0,20,0.07453036178469472,0.05983333086496521,0.8315442548335376,
20.0,8.0,10,-20,0.05919770762103314,0.06278081007123228,0.8185209775066928,
20.0,8.0,10,-10,0.05504773885299509,0.06417153426247868,0.8298842880215312,
20.0,8.0,10,0,0.05996436230712866,0.06391446445561536,0.7784499937002436,
20.0,8.0,10,10,0.0663971073070486,0.06243752277035256,0.7833229150139517,
20.0,8.0,10,20,0.07398230788112574,0.061206493852320576,0.7954601442764521,
20.0,10.0,-20,0,0.09587242505990576,0.06924053752940788,0.6830830033890412,
20.0,10.0,-15,0,0.09092639654889378,0.07010947430588182,0.6932432826790484,
20.0,10.0,-10,-20,0.08272489184648078,0.05519756252881852,0.775339028224886,
20.0,10.0,-10,-10,0.07897310480625473,0.06021441793111933,0.7514735887231861,
20.0,10.0,-10,0,0.08506488639826386,0.06628353285790127,0.7204485497688901,
20.0,10.0,-10,10,0.09163846798154753,0.056704845570378026,0.7189958570316,
20.0,10.0,-10,20,0.10496380923395829,0.05481266210620281,0.76326610686854,
20.0,10.0,-5,0,0.08266710620259494,0.06993766975873736,0.7274927908169491,
20.0,10.0,0,-20,0.07632270124567547,0.059954488472669945,0.7618665249266701,
20.0,10.0,0,0,0.07998918308324442,0.06608625169271964,0.749130628274532,
20.0,10.0,0,10,0.08613034615560519,0.058445842115162724,0.7658650257791536,
20.0,10.0,0,20,0.0997414729133893,0.055616455345410674,0.7945033188271224,
20.0,10.0,5,0,0.08067499122699513,0.07011954203818883,0.7500856223166075,
20.0,10.0,10,-20,0.0767219519139837,0.062335701896582066,0.8182856716533748,
20.0,10.0,10,-10,0.07551215778709428,0.06122321360606835,0.792632501325552,
20.0,10.0,10,0,0.07976745402952712,0.06787707302351065,0.7620108885365141,
20.0,10.0,10,10,0.08876009080527232,0.05804698300697822,0.8043462460796308,
20.0,10.0,10,20,0.0971053659654486,0.057876593524975636,0.8112001166146411,
20.0,10.0,15,0,0.08180963559822851,0.07068426762980745,0.7729034885702857,
20.0,10.0,20,0,0.08593861555349026,0.07046748584213011,0.7768913563927765,
27.5,-5.0,5,0,,,,False
29.5,-8.0,-10,20,,,,False
29.5,-4.0,-10,20,,,,False
29.5,-4.0,0,-20,,,,False
30.0,-10.0,-20,0,0.09430270349653284,0.05621544036494317,0.6815390241651738,
