V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
30.0,10.0,-10,0,0.07891539223599078,0.056611912159407245,0.7789453366491716,
30.0,10.0,-10,10,0.0776130208141206,0.050689606815648866,0.8548625364157103,
30.0,10.0,-10,20,0.09047809588367928,0.048390944863898534,0.8598128511783693,
30.0,10.0,0,-20,0.06148136201549593,0.05421161414349364,0.8741173039545403,
30.0,10.0,0,-10,0.06137803984157434,0.05465114367955684,0.8751954811943369,
30.0,10.0,0,0,0.07359363891764495,0.058665881622052544,0.8167752921892596,
30.0,10.0,0,10,0.07191393261059281,0.052984721985964385,0.8754017984598078,
30.0,10.0,0,20,0.08400453374001562,0.051809092849085275,0.8813578485778935,
30.0,10.0,5,0,0.07928301961584609,0.05954586204904231,0.8578907868753025,
30.0,10.0,10,-20,0.061436772640596875,0.055539009992000364,0.8944800343384561,
30.0,10.0,10,-10,0.06097681920939664,0.05593237793382032,0.8919996966919872,
30.0,10.0,10,0,0.07152738516003401,0.05941963432316224,0.8532482319198744,
30.0,10.0,10,10,0.0721740916472908,0.05503421460168956,0.8979181258628262,
30.0,10.0,10,20,0.08168212402374173,0.05395769161164477,0.9015039715384691,
30.0,10.0,20,0,0.08438105114982945,0.06076582586442559,0.8795161018328618,
39.5,-10.0,-20,0,0.09127487123544181,0.054150545340085704,0.714400165778566,
39.5,-10.0,-15,0,0.08523591645494583,0.05610083703286245,0.7455929835354158,
39.5,-10.0,-10,-20,0.08715025350535943,0.0484555600173942,0.8659036636281258,
39.5,-10.0,-10,-10,0.0750022393870248,0.05021701859812464,0.8647592388212244,
39.5,-10.0,-10,0,0.07594361609600979,0.0563645713336602,0.7379291318456479,
39.5,-10.0,-10,10,0.06445405910488812,0.050963832844799606,0.861210758814486,
39.5,-10.0,-10,20,0.06647729911449196,0.05068828834068518,0.8649405901341807,
39.5,-10.0,-5,0,0.0775575785634602,0.05885700735914318,0.7844200368228813,
39.5,-10.0,0,-20,0.07800262442056867,0.05205676450371012,0.8800489173960739,
39.5,-10.0,0,-10,0.0696231524446373,0.054828486584295406,0.8822829050028914,
39.5,-10.0,0,0,0.07084150638979043,0.05878269280656354,0.7904879965780838,
39.5,-10.0,0,10,0.05980534757173774,0.05379906960121785,0.8830728648381536,
39.5,-10.0,0,20,0.06146575024954576,0.05330715454546067,0.8859416378972843,
39.5,-10.0,5,0,0.07471303189015681,0.060519218814655926,0.8190576746880098,
39.5,-10.0,10,-20,0.07884009834861101,0.05485504956231411,0.9004772869303215,
39.5,-10.0,10,-10,0.06824828248042983,0.05589667359675997,0.9061231138694424,
