AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
-1.0,-9.0,-1.0,-9,0.017599999999999998,-0.06225,0.01635,0.017400000000000002,-0.007649999999999999,0.023100000000000002
-0.5,-9.0,-0.5,-9,0.017705,-0.062840625,0.0160385,0.017516666666666666,-0.00798,0.023100000000000002
0.0,-9.0,0.0,-9,0.017800000000000003,-0.06315,0.01565,0.0176,-0.008249999999999999,0.023100000000000002
0.5,-9.0,0.5,-9,0.01790833333333333,-0.063,0.014820875,0.0175,-0.0085875,0.0230625
1.0,-9.0,1.0,-9,0.018000000000000002,-0.06285,0.013850000000000001,0.017400000000000002,-0.00885,0.023
1.5,-9.0,1.5,-9,0.01806666666666667,-0.06301964285714286,0.013167013888888891,0.017483333333333333,-0.0089875,0.0229375
2.0,-9.0,2.0,-9,0.018099999999999998,-0.06335,0.01245,0.0176,-0.00905,0.0229
2.5,-9.0,2.5,-9,0.018050000000000004,-0.06388035714285714,0.011404715762273903,0.017666666666666667,-0.008787499999999998,0.02295
3.0,-9.0,3.0,-9,0.018000000000000002,-0.06425,0.010250000000000002,0.0177,-0.00835,0.023
3.5,-9.0,3.5,-9,0.018000000000000002,-0.06369999999999999,0.009226707848837213,0.01755,-0.008019444444444445,0.0229
4.0,-9.0,4.0,-9,0.018000000000000002,-0.06315,0.008150000000000001,0.017400000000000002,-0.007649999999999999,0.0228
4.5,-9.0,4.5,-9,0.017937500000000002,-0.06347142857142857,0.006735175304878053,0.01742857142857143,-0.007116805555555555,0.022833333333333334
5.0,-9.0,5.0,-9,0.017800000000000003,-0.06415,0.00545,0.0175,-0.0065499999999999985,0.0229
5.5,-9.0,5.5,-9,0.0175625,-0.06553227513227514,0.004519512195121953,0.017746428571428573,-0.006123365384615385,0.023000000000000003
6.0,-9.0,6.0,-9,0.0172,-0.06665,0.0040500000000000015,0.0181,-0.0056500000000000005,0.023100000000000002
6.5,-9.0,6.5,-9,0.016671428571428573,-0.06675343915343915,0.0046928571428571444,0.018425,-0.0048826143451143455,0.02315
7.0,-9.0,7.0,-9,0.016,-0.06684999999999999,0.005550000000000003,0.0187,-0.00395,0.023200000000000002
7.5,-9.0,7.5,-9,0.015028571428571428,-0.06734937888198758,0.005957142857142859,0.0189,-0.00272027027027027,0.0233
8.0,-9.0,8.0,-9,0.014400000000000001,-0.06805,0.006150000000000003,0.019,-0.0019500000000000003,0.0234
8.5,-9.0,8.5,-9,0.015609183673469388,-0.06874347826086956,-0.0014871987951807202,0.019,-0.0021970588235294113,0.023466666666666667
9.0,-9.0,9.0,-9,0.0174,-0.06915,-0.009549999999999998,0.019,-0.0027500000000000007,0.0235
9.5,-9.0,9.5,-9,0.018640816326530613,-0.06872249999999999,-0.010212801204819275,0.01927857142857143,-0.004202941176470588,0.0232375
10.0,-9.0,10.0,-9,0.019299999999999998,-0.06825,-0.01045,0.0196,-0.005349999999999999,0.0229
10.5,-9.0,10.5,-9,0.01885,-0.0681775,-0.004548041044776118,0.019650595238095238,-0.0040999999999999995,0.022787500000000002
11.0,-9.0,11.0,-9,0.0184,-0.06815,0.004650000000000001,0.019700000000000002,-0.00285,0.0227
11.5,-9.0,11.5,-9,0.018542857142857146,-0.0682,0.010637193937338103,0.019908333333333333,-0.0030123287671232884,0.022605
12.0,-9.0,12.0,-9,0.0189,-0.06825,0.01635,0.020200000000000003,-0.00345,0.022500000000000003
12.5,-9.0,12.5,-9,0.020507142857142856,-0.06815,0.023353271349862256,0.020450000000000003,-0.006937671232876712,0.02232
13.0,-9.0,13.0,-9,0.021900000000000003,-0.06805,0.028849999999999997,0.0207,-0.010150000000000001,0.0222
13.5,-9.0,13.5,-9,0.021775000000000003,-0.06813125,0.03160757575757575,0.02095,-0.00831875,0.0222125
14.0,-9.0,14.0,-9,0.020900000000000002,-0.06835,0.032850000000000004,0.0212,-0.0029499999999999995,0.0223
-5.0,-8.0,-5.0,-8,0.014100000000000003,-0.053649999999999996,0.022250000000000002,0.015300000000000001,-0.0009500000000000003,0.0215
-4.5,-8.0,-4.5,-8,0.014510000000000004,-0.052375,0.020281859756097562,0.015330000000000002,-0.002066722972972973,0.021599999999999998
-4.0,-8.0,-4.0,-8,0.014800000000000002,-0.051949999999999996,0.01905,0.0154,-0.0030500000000000006,0.0217
