AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
-2.5,-10.0,19.99405252836675,19.850544249449104,-15,0,-0.1535903003528562,-0.15139340927858969,0.10620676970862,0.10468763273275948,-0.1322741253590062,-0.13038213188878048,0.0340008556942762,0.03351452175117841,0.407968072975474,0.402132669202928,0.0330477195525403,0.03257501886803715,0.007229438,20.0,-2.5,-10.0,0.004080963770432487,1.0081619275408649,19.93138897439339,-0.15016775097614773,0.1038400973820905,-0.12932657773222206,0.033243193216914976,0.39887706351282337,0.03231129640800362
0.002,-10.0,19.99849442408276,19.854954263243805,-15,0,0.1253936961499779,0.12360011744606039,0.1000153855543355,0.09858480753405131,-0.1300390958126969,-0.12817907126531156,0.0336000412666012,0.033119440404541546,0.3168859006967442,0.31235329801804496,0.0340344564268525,0.03354764187300444,0.007229438,20.0,0.0,-10.0,0.0033466854232237168,1.0066933708464474,19.921291729071303,0.12277831664088043,0.09792933021021018,-0.12732682560285075,0.03289923363327015,0.31027650232305815,0.03332458804690144
-0.005,-10.0,20.003650542022203,19.860073372897393,-15,0,0.124902566827723,0.12311601303111992,0.0995826792509227,0.09815829047965724,-0.1296124752706418,-0.12775855292410365,0.033681807008967,0.03320003660410959,0.3140550411349844,0.3095629298811306,0.0339755723427678,0.033489600042098784,0.007229438,20.0,-0.0,-10.0,0.003291777645363314,1.0065835552907265,19.92534107131357,0.12231077329249725,0.09751628661498117,-0.12692294867384735,0.03298289191156177,0.30753823490760396,0.033270561461165686
0.005,-10.0,20.00339332947076,19.859818006501474,-15,0,0.1259860026276631,0.1241839518209431,0.1001314262841868,0.09869918846609586,-0.130204486510046,-0.1283420962836696,0.0334400474804137,0.032961735102197146,0.3189039160598553,0.3143424485379415,0.0341649496965694,0.033676268621861405,0.007229438,20.0,0.0,-10.0,0.003360435207074324,1.0067208704141486,19.926443879635865,0.12335489952627668,0.09804027249926052,-0.1274852842087914,0.032741682496993656,0.3122438977634646,0.03345144578954396
2.5,-10.0,19.998761464566197,19.85521938703126,-15,0,0.4005559780090563,0.3948265937262562,0.0998120240074831,0.09838435478525517,-0.129722223054474,-0.12786673092178294,0.0333132636865307,0.032836764770391526,0.2262136341950631,0.2229779694903337,0.0356104621319008,0.035101105055130005,0.007229438,20.0,2.5,-10.0,0.002362847256669916,1.0047256945133398,19.90207894195577,0.39296953972845183,0.09792160718345093,-0.12726531392602425,0.032682318118973465,0.22192919988807272,0.03493600815308299
5.0,-10.0,19.99194546362673,19.84845230826815,-15,0,0.662700529334172,0.6532215396163238,0.1060353826174693,0.10451869709049538,-0.1280442283439037,-0.12621273754198578,0.0336160989756125,0.033135268430835134,0.142197141910485,0.14016321378395832,0.0365974996974356,0.036074024450359087,0.007229438,20.0,5.0,-10.0,0.002362847256669916,1.0047256945133398,19.89529589246513,0.650149133423651,0.10402709680986234,-0.1256191000501083,0.032979417777192314,0.13950396068237247,0.035904351453689365
6.0,-10.0,19.99340681605485,19.849903171768545,-15,0,0.7546173258954881,0.7438235969689997,0.1102181271438318,0.10864161339792223,-0.1213977444505693,-0.11966132215953376,0.0326421674388748,0.0321752676012781,0.1211808530396008,0.11944753307210879,0.0341651746100056,0.03367649031823038,0.007229438,20.0,6.0,-10.0,0.002362847256669916,1.0047256945133398,19.896750180093786,0.7403250469565092,0.10813062111499508,-0.11909849903609189,0.03202393228020596,0.11888571549866228,0.03351809404510383
7.0,-10.0,19.993831288430016,19.850324597472714,-15,0,0.8467436616490747,0.8346321963534473,0.1140439762102627,0.11241273912800817,-0.1189928557589402,-0.11729083198453694,0.0319935386068691,0.03153591648334855,0.0887205332943144,0.0874515120914737,0.0342847930189134,0.03379439775571457,0.007229438,20.0,7.0,-10.0,0.002362847256669916,1.0047256945133398,19.897172600388874,0.8307065310574336,0.11188400947828617,-0.11673915838426849,0.03138758832939337,0.08704018675846913,0.033635446908803907
8.0,-10.0,19.99277821480787,19.849279082337414,-15,0,0.9336422613257742,0.9202878349996819,0.1203542711032139,0.118632774216177,-0.1161146360907025,-0.1144537811601937,0.0314827517912455,0.031032435747558897,0.0415955860729764,0.041000620299990284,0.033759851931935,0.03327696520531595,0.007229438,20.0,8.0,-10.0,0.002362847256669916,1.0047256945133398,19.89612461777271,0.9159592912028022,0.11807478883441844,-0.11391545153588593,0.030886475698812615,0.04080777522052902,0.03312044808551886
9.0,-10.0,19.993557475775788,19.850052750122053,-15,0,1.0072995870518195,0.9928915973101331,0.1289605010276064,0.1271159042464971,-0.1121322526628924,-0.11052836007041382,0.0307191098668582,0.03027971663616023,-0.0035205764045659,-0.0034702195600145487,0.0332783588109742,0.032802359159498105,0.007229438,20.0,9.0,-10.0,0.002362847256669916,1.0047256945133398,19.89690011146153,0.9882215640867642,0.12651801873950122,-0.11000849353608955,0.030137296977188237,-0.003453897495570095,0.032648074333748
