AoA,AoS,dR,dE,V,AoA_round,AoS_round,V_round,J,J_round,AoA_tail_corr,dPb,pBar,temp,rho,q,Re,J_M1,J_M2,CT,CL_uncorrected,CL_solid_blockage_corr_wake_corr_sc_corr,CD_uncorrected,CD_solid_blockage_corr_wake_corr_dw_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_uncorrected,CMroll_solid_blockage_corr_wake_corr,CMpitch_uncorrected,CMpitch_solid_blockage_corr_wake_corr_sc_corr_tail_corr,CMyaw_uncorrected,CMyaw_solid_blockage_corr_wake_corr,CMpitch25c_uncorrected
7.0,0.0,0.0,0.0,39.985175845220525,7.0,0.0,40.0,1.599296490435402,1.6,8.330557799635956,415.96,101202.0,289.11,1.2194624456700005,974.8469905261348,448428.59782865416,1.599296490435402,1.5995564963678417,-0.1290801602050115,0.992505122489348,0.9676878896961888,-0.0081852240196132,-0.006235142773409003,-0.0055390487176573576,-0.0054721345349181,-0.005974588348939402,-0.3254603208361367,-0.3198247208363954,-0.0001640073970523,-0.003703540264206896,-0.3254603208361367
7.006,0.0,0.0,0.0,40.012746255470425,7.0,0.0,40.0,2.4007939689828888,2.4,8.336557799635957,416.26,101199.0,289.29,1.2186675534126223,975.5554796455186,448228.6736905813,2.4007939689828888,2.4007939689828888,-0.0320730166475766,0.9685784939472968,0.9441456319786284,0.086715149781392,0.08714069802210907,0.000512202809688585,-0.0041281633461443,-0.004652207469599005,-0.2862426899534994,-0.2812371040441447,-0.00152056676368,-0.005038307097828738,-0.2862426899534994
7.998,0.0,0.0,0.0,39.99988835988295,8.0,0.0,40.0,1.59988495034755,1.6,9.413219547474535,416.07,101200.0,289.23999999999995,1.2188902649715678,975.106768902776,448226.6610461791,1.59988495034755,1.6000149905776035,-0.1483792265246538,1.0737808393131982,1.0469381196439165,0.0010351341192854,0.0054253636117263275,-0.006170931866318106,-0.0056563256096399,-0.006451001105780983,-0.3718930929436114,-0.36758187411064086,-0.0002603618762781,-0.003995133938318786,-0.3718930929436114
7.996,0.0,0.0,0.0,40.00620428197657,8.0,0.0,40.0,2.4004014458001754,2.4,9.411219547474536,415.97,101196.0,289.39,1.218210323044408,974.8706066959188,447867.08634707896,2.4004014458001754,2.400108820974404,-0.0517105198678009,1.045025371432446,1.0186445957799957,0.0945761446297342,0.09746367869350561,0.0008254981216927616,-0.0044479852549513,-0.005262072210487134,-0.3295671003481029,-0.32593583007715976,-0.0019324142346672,-0.005640325506753446,-0.3295671003481029
7.993,0.0,0.0,0.0,39.99224732172096,8.0,0.0,40.0,1.9995147897643075,2.0,9.408219547474536,415.45,101195.0,289.54999999999995,1.217525130969375,973.6425781390956,447267.1145115298,1.9995147897643075,1.9995147897643075,-0.0863678508722669,1.056257516042706,1.0296963008988722,0.0611005798085285,0.06452588418239655,-0.0002855978176697596,-0.0055195428200599,-0.006316415671900916,-0.3430876868666317,-0.3392392142857771,-0.0015984462728043,-0.005311722594154766,-0.3430876868666317
2.496,4.0,0.0,0.0,20.024715325582857,2.5,4.0,20.0,2.00257726863807,2.0,3.3112881022593736,104.72,101191.0,289.31,1.2184869752778251,244.3000732565651,224274.53474598163,2.00257726863807,2.00257726863807,0.0176651877365113,0.5111410146143649,0.4924568192872194,0.0477774383696413,0.042554587551242,0.10851519928986275,-0.0461747876400803,-0.03937405210685717,-0.0997641696967511,-0.09515089844327344,-0.0347684821052635,-0.027158143288060127,-0.0997641696967511
2.496,3.995,0.0,0.0,39.93478063330014,2.5,4.0,40.0,1.996844465052762,2.0,3.304644092763473,413.97,101192.0,289.75,1.2166486644737404,970.1475569108349,446063.8390304393,1.996844465052762,1.996844465052762,0.0037772652805586,0.5195034591316974,0.500905202575428,0.033728932698674,0.02870012704930198,0.10193870808415557,-0.0395148543013863,-0.0328339533816774,-0.1160062694663605,-0.11116390309439658,-0.0322305147579421,-0.024669111186960205,-0.1160062694663605
2.496,3.995,0.0,0.0,39.9922415436452,2.5,4.0,40.0,1.9993113807505956,2.0,3.304644092763473,415.08,101195.0,289.81,1.216432841075817,972.7688038271756,446554.68065121904,1.9993113807505956,1.9997176622748285,0.0048267521943313,0.5186657134847813,0.5000811987338155,0.0348266848895029,0.02977987246571979,0.10308395654366168,-0.0410136407167465,-0.03430815473212289,-0.1179746349660033,-0.11309998087573031,-0.0319918630798286,-0.02443437418737481,-0.1179746349660033
2.496,7.995,0.0,0.0,20.00502873465478,2.5,8.0,20.0,2.000608505594573,2.0,3.3352247175830665,104.54,101188.0,289.23,1.2187878701265824,243.88016865176184,224157.49060077552,2.000608505594573,2.000608505594573,0.0014992556700909,0.5390049560899799,0.5193362151375175,0.0572268106497111,0.05651230396646681,0.22380711498119357,-0.0862367686170446,-0.06525972203461876,-0.1325640679011158,-0.1521294609081262,-0.0663310463973233,-0.044992527112165434,-0.1325640679011158
2.496,8.0,0.0,0.0,39.99515469372042,2.5,8.0,40.0,1.999660151270639,2.0,3.3279943930562697,415.27,101192.0,289.71,1.216816646064224,973.2174971615264,446847.75104092766,1.999660151270639,1.999660151270639,-0.0111104043495336,0.5459619331099399,0.5262846464787568,0.0439855992421506,0.04345081108171364,0.21808007714367528,-0.0822751300248626,-0.06137293940282011,-0.1369425879664135,-0.15645141579475189,-0.0640091873621519,-0.04271526787817402,-0.1369425879664135
