AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected
10.0,0.0,29.9996453460145,-20,0,0.9606120587612792,0.1060477091960598,0.01228532643948,-0.0045721956539386995,0.1139487789782114,-0.0072985036855661,0.0093,-0.00585,-0.00905,0.0015,-0.00345,0.0033,True,0.1153477091960598,0.00643532643948,0.9515620587612792,-0.0030721956539387,0.1104987789782114,-0.0039985036855661
11.0,0.0,29.99012233893488,-20,0,0.9880854893128306,0.1208786864649437,0.0115922253956398,-0.0043021104079412,0.0746459394998188,-0.0065390199289396,0.0084,-0.00575,0.00605,0.0016,-0.00095,0.0031,True,0.1292786864649437,0.0058422253956398,0.9941354893128306,-0.0027021104079412,0.0736959394998188,-0.0034390199289396
12.0,0.0,29.99278284589445,-20,0,1.0274365946888366,0.13511524582969212,0.010569083980758301,-0.0040762030016436995,0.0332858282547289,-0.0058230748571422,0.0089,-0.00585,0.01775,0.0021,-0.0015499999999999,0.0028999999999999,True,0.1440152458296921,0.0047190839807583,1.0451865946888366,-0.0019762030016437,0.031735828254729,-0.0029230748571423
13.0,0.0,29.98712844704264,-20,0,1.0759646430713243,0.14905080443770158,0.0067941616999637995,-0.0023713778386231,-0.0028405316712577997,-0.0048625066836588005,0.0118999999999999,-0.00565,0.0302499999999999,0.0026,-0.0082499999999999,0.0025999999999999,True,0.1609508044377015,0.0011441616999638,1.1062146430713242,0.0002286221613769,-0.0110905316712577,-0.0022625066836589
14.0,0.0,29.98398666227497,-20,0,1.1292206761348953,0.168515623145507,0.0075925052545562,-0.0029744920319669,-0.0544678952552813,-0.005144612343233599,0.0109,-0.0059499999999999,0.03425,0.0031,-0.0010499999999999,0.0026999999999999,True,0.179415623145507,0.0016425052545563,1.1634706761348954,0.0001255079680331,-0.0555178952552812,-0.0024446123432337
0.005,0.0,30.018380840987216,-20,0,0.037255528622810896,0.062459255228452804,0.0055317272340246,-0.0028670046594422,0.5389417901202417,-0.0062716034677347005,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0702592552284528,0.0047817272340246,0.0543055286228109,-0.0033670046594422,0.5325917901202417,-0.0027716034677347
0.002,0.0,40.00312891908623,-20,0,0.042233516631776505,0.05948884734095369,0.010244513197363301,-0.0045848321672932995,0.5381724732103128,-0.0064960482588662,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0672888473409537,0.0094945131973633,0.0592835166317765,-0.0050848321672933,0.5318224732103128,-0.0029960482588662
-2.501,0.0,39.98550209527034,-20,0,-0.25023618474344217,0.066237268230591,0.0089087190797483,-0.0053945131657085,0.6351048274705825,-0.006002902269636999,0.0071,0.0027332293832293,0.0189831944444444,-0.0009258928571428,-0.003317027027027,0.00326125,True,0.073337268230591,0.0116419484629776,-0.2312529902989978,-0.0063204060228513,0.6317878004435555,-0.002741652269637
-5.002,0.0,39.990913154093086,-20,0,-0.5445941556290677,0.08052390342544259,0.0060323725262929,-0.004792161185268,0.7248267072117563,-0.0047784423670295,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0864239034254426,0.0098823725262929,-0.5209441556290677,-0.0063921611852679,0.7262767072117563,-0.0020784423670296
-0.005,0.0,40.00727887868679,-20,0,0.040123847375792096,0.0588182006093729,0.0121325097172356,-0.0050896357676351,0.5380534971129878,-0.0065309827873916,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0666182006093729,0.0113825097172356,0.0571738473757921,-0.0055896357676351,0.5317034971129878,-0.0030309827873916
2.5,0.0,39.98673876593688,-20,0,0.3266778149880508,0.0585290979098389,0.011371200406491599,-0.0041771549738896,0.4406589614858526,-0.006418804430074,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0665790979098389,0.0098908432636345,0.3394825307503247,-0.0046104883072229,0.4337714614858527,-0.003068804430074
5.0,0.0,39.990769348861015,-20,0,0.5970735981968055,0.0645307204687538,0.0089913004953334,-0.0026068443613716003,0.3406091835118872,-0.0062215219886509,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.0723307204687538,0.0072413004953334,0.6039235981968054,-0.0032068443613716,0.3359591835118872,-0.0029215219886509
6.0,0.0,39.98884357115819,-20,0,0.6948311698792127,0.0690847102209341,0.0129643444038993,-0.0035644732458058,0.30040008583634875,-0.0064441971554808995,0.0072,-0.00425,0.00545,0.0,-0.00375,0.0035,True,0.0762847102209341,0.0087143444038993,0.7002811698792126,-0.0035644732458058,0.2966500858363488,-0.0029441971554809
7.0,0.0,39.99094272171765,-20,0,0.7815016183410215,0.0755584982633267,0.013321943232220499,-0.0040938754761097,0.25562804965306907,-0.0067253512204784,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,0.0815584982633267,0.0088719432322205,0.7884516183410215,-0.0034938754761097,0.2535780496530692,-0.0031253512204784
